impact,0053-06-07 17:07:08,drop,1-2
front,0673-12-26 13:34:56,name,8-2
item,0285-03-31 20:39:46,research,8-2
both,0184-06-25 17:08:53,north,7-3
system,1156-08-05 09:16:28,whose,6-3
one,1485-01-07 05:25:13,senior,2-8
move,1083-04-25 17:27:50,pull,9-3
face,1248-10-09 21:08:37,center,9-2
win,0526-09-24 07:50:03,put,5-4
receive,0437-06-18 08:42:28,herself,7-9
serious,0559-09-07 02:50:04,trade,3-9
dog,0815-12-28 08:15:10,difference,1-6
little,0414-10-13 00:53:04,none,3-1
technology,1028-07-29 18:45:58,director,5-4
wonder,1702-10-18 21:53:55,good,2-1
series,0971-04-03 22:51:09,indicate,2-8
where,0318-12-19 22:39:00,lose,4-4
enter,1217-04-16 12:37:18,number,6-9
begin,1297-06-27 21:55:59,difference,8-5
offer,0159-03-05 17:14:08,avoid,2-1
candidate,0719-08-07 23:24:46,training,5-9
someone,0078-05-13 14:50:02,system,3-5
give,1318-05-29 05:04:53,clear,6-7
shoulder,0630-03-08 15:29:43,way,6-9
red,1044-03-13 10:11:52,we,4-7
test,0930-11-22 18:11:53,four,3-2
recent,1315-01-14 07:12:09,on,1-1
avoid,0088-12-16 03:03:17,themselves,9-8
hair,1434-03-07 23:04:44,beat,3-4
rather,1256-09-27 16:15:49,almost,9-8
seven,1662-07-30 20:52:47,since,3-1
write,0765-03-30 19:44:47,billion,9-5
cause,1416-03-31 08:47:17,model,3-6
support,1959-05-08 09:54:42,western,5-3
detail,0170-09-12 14:03:41,indeed,5-8
indicate,0568-01-23 15:36:19,reflect,3-6
hair,0713-08-29 01:53:54,up,8-5
face,0817-01-26 10:16:59,raise,5-3
sense,0504-07-29 11:20:43,dinner,9-9
garden,1328-12-14 14:05:03,discussion,3-6
likely,0343-07-01 13:31:27,example,8-8
meet,1054-07-19 05:41:50,probably,7-9
start,0275-09-25 12:16:15,site,7-9
plan,0321-10-27 17:34:10,fact,1-8
up,0311-09-25 23:28:59,become,2-6
stage,0864-03-14 22:31:27,somebody,8-2
economic,1212-12-08 06:01:29,science,7-7
price,1358-06-22 18:02:21,crime,8-6
that,0522-12-25 22:51:52,leave,9-5
catch,1134-03-20 06:44:50,father,4-4
something,1501-05-23 13:02:10,activity,8-3
plant,0028-03-28 11:32:58,speech,4-5
top,1133-02-20 16:51:38,center,2-5
offer,0350-11-16 03:24:59,bad,6-8
interview,1822-09-21 23:23:42,bit,2-6
weight,1582-02-20 00:42:51,air,7-1
then,0351-10-13 13:50:27,sort,6-1
scientist,1759-05-16 04:13:02,similar,7-2
local,1716-05-19 18:18:46,tree,1-5
keep,1046-08-22 21:41:30,debate,9-3
right,1919-10-24 09:21:37,action,6-2
cover,1488-02-15 10:07:24,party,8-7
loss,0153-06-22 10:01:50,value,8-5
worry,1985-01-03 13:15:38,full,8-9
lot,0836-02-10 06:43:55,performance,4-2
line,1437-09-06 03:39:01,watch,9-6
family,1960-09-07 03:23:57,member,7-1
general,0078-08-14 23:38:26,address,3-2
whatever,0848-09-16 02:45:37,laugh,3-4
option,1154-05-25 07:56:41,room,9-1
stand,0779-01-19 23:00:24,onto,1-2
have,0123-07-22 14:38:50,just,6-3
ready,1603-11-16 04:24:44,sea,9-8
above,1127-02-22 17:00:56,thousand,3-1
chance,0367-12-15 17:57:31,whole,3-9
college,1470-12-12 04:46:23,travel,5-1
nation,1727-04-01 00:07:16,live,4-8
during,0177-08-25 00:46:31,his,2-9
wear,0408-11-15 22:33:24,beyond,6-6
how,1777-04-10 18:16:01,perform,6-8
condition,1036-01-13 23:23:16,plant,6-7
green,1890-08-16 13:14:27,them,7-9
free,1256-01-16 05:46:06,account,7-9
show,0355-08-08 23:38:57,per,8-2
mother,1998-09-25 05:45:09,standard,3-2
manager,0496-11-28 11:46:28,sometimes,6-5
suffer,0849-07-14 02:59:44,follow,5-4
white,0544-07-20 13:12:34,partner,3-1
part,1348-08-21 17:30:28,pass,8-6
behind,0578-07-29 07:49:34,food,8-5
gas,0324-12-07 12:38:40,police,3-7
the,1028-09-12 15:37:10,civil,9-5
camera,0501-03-31 21:06:36,receive,6-9
parent,0077-02-01 07:21:43,out,1-3
plant,1935-03-21 18:48:56,including,9-4
just,1792-03-29 15:10:18,top,4-2
everything,1724-09-04 21:17:09,surface,6-3
top,1431-01-24 18:31:32,surface,7-7
deep,1436-03-08 22:39:16,audience,5-2
single,1942-09-28 16:37:20,control,8-1
about,0363-01-24 08:43:58,yard,3-4
artist,1564-06-13 11:08:36,case,3-6
Mr,1858-01-05 09:31:19,west,6-3
bill,1969-10-08 18:41:48,outside,3-7
bag,0099-11-27 20:55:20,small,3-2
hot,0556-08-15 01:59:31,few,8-9
father,1045-09-05 14:23:51,idea,3-9
product,1553-12-26 05:12:50,language,6-4
wait,0367-11-26 17:09:22,season,3-2
well,1932-01-01 13:25:11,oil,1-9
leave,1033-02-05 17:07:37,near,3-9
other,2009-04-11 20:17:25,similar,9-2
life,1977-07-08 23:24:52,soldier,2-4
opportunity,2003-04-04 19:58:06,sign,1-2
morning,0174-07-27 22:05:50,heavy,4-6
total,0594-02-10 05:36:10,color,8-4
professional,0704-09-21 11:49:55,hard,5-6
whom,0911-02-22 00:26:24,sell,4-4
more,0728-03-23 02:46:43,movement,6-9
shake,0295-03-14 03:17:28,learn,3-2
special,1977-10-15 04:40:31,assume,4-4
member,0074-02-03 07:57:37,door,8-5
walk,1167-08-18 22:29:41,wall,7-6
half,0281-08-28 02:18:19,together,3-9
build,0013-07-15 05:27:58,along,6-4
letter,1143-09-23 12:09:15,south,3-5
tough,1870-08-23 16:07:21,responsibility,4-7
attorney,1146-09-28 04:28:20,model,6-6
chance,1194-11-27 11:44:34,building,1-4
reveal,0319-02-11 06:40:04,yet,7-6
because,0758-09-22 20:18:03,game,4-7
hand,1351-12-20 12:54:54,shoulder,3-3
animal,1761-07-01 18:28:44,relationship,4-2
method,1437-05-19 22:15:50,statement,4-2
remember,0341-07-21 20:59:09,pretty,3-6
similar,0950-12-14 03:54:04,wear,4-1
door,1935-10-18 23:34:29,walk,5-3
statement,1741-12-07 17:55:12,summer,7-4
cup,1959-10-13 22:19:30,give,3-2
machine,1016-04-11 01:45:50,billion,2-6
themselves,1794-12-06 19:08:13,rich,2-1
but,1593-03-15 01:29:33,skill,4-2
leave,0765-03-18 08:36:06,nice,7-6
none,0675-06-01 21:13:18,store,7-1
camera,1428-09-13 16:49:26,mouth,7-4
more,1381-04-01 14:06:20,start,8-4
of,1662-05-14 14:19:04,reach,8-7
who,0810-08-18 09:22:36,heart,7-7
their,0322-03-26 11:54:37,American,6-8
value,0201-10-02 07:52:05,tax,1-6
area,0191-03-20 12:12:18,why,1-3
hit,0189-12-12 00:02:58,discussion,5-5
easy,2006-10-30 15:03:04,media,7-6
force,0323-06-28 13:42:12,blood,6-6
issue,1251-04-07 13:53:03,fish,7-4
young,1817-04-18 04:36:15,finally,7-8
understand,0929-04-05 18:03:26,successful,5-7
generation,0115-02-12 05:31:51,gun,8-9
give,1311-04-16 05:50:31,actually,9-9
from,0131-08-07 03:43:59,institution,5-5
behavior,0949-06-25 08:50:27,use,9-9
believe,0329-08-04 03:00:02,computer,2-7
huge,1272-12-01 22:33:48,pay,2-8
or,1907-03-20 14:10:37,away,9-5
machine,0629-11-07 00:42:42,both,7-8
doctor,0049-09-14 11:01:22,him,5-5
international,0585-10-12 11:06:19,when,9-2
report,0300-07-22 04:23:00,movement,1-3
poor,1523-07-30 23:31:38,wall,9-4
short,0075-09-15 11:13:49,attention,1-7
whatever,1096-12-15 18:20:37,book,7-2
seat,0498-07-07 20:29:52,Democrat,2-8
party,0915-01-26 02:48:54,might,1-4
exist,0366-05-19 14:20:46,blue,8-5
probably,1567-04-17 20:54:02,walk,5-7
administration,0611-08-22 05:36:59,reach,8-5
everybody,1605-08-29 07:58:55,wait,3-5
nation,1831-08-29 04:22:09,best,2-4
believe,0941-12-19 06:49:29,three,8-6
today,1971-11-27 08:02:46,until,8-5
recognize,1450-06-26 07:31:17,suddenly,7-7
already,1270-05-08 14:39:03,hear,7-6
sell,1669-09-26 03:46:46,win,8-5
opportunity,1784-01-15 17:25:06,better,3-1
his,1202-12-03 17:16:34,note,2-3
visit,1860-09-12 12:29:48,soon,3-7
pressure,1043-07-05 21:39:18,term,2-5
history,0560-03-16 13:54:37,oil,3-1
hot,1562-07-27 14:45:20,seat,7-8
with,1933-06-22 15:10:16,somebody,2-3
subject,0351-06-21 20:20:41,else,4-5
activity,0482-05-15 08:18:11,at,9-6
dark,0729-04-14 04:52:38,them,1-8
opportunity,0789-07-12 23:59:23,medical,6-6
drug,0978-07-31 22:25:23,end,8-5
final,0890-09-26 20:21:05,center,5-9
culture,1291-07-08 19:43:17,happy,7-6
allow,0133-10-19 02:54:53,professor,6-3
spend,1206-08-26 04:00:45,project,4-1
level,1735-04-06 11:26:08,back,9-6
and,1813-01-24 17:58:57,business,7-8
have,1033-06-18 12:40:27,result,4-9
send,1134-08-26 20:03:57,care,5-3
price,1653-08-08 03:57:05,party,4-3
perhaps,0210-10-28 17:11:51,speech,1-3
very,0461-03-05 13:34:23,himself,9-4
soldier,0185-10-10 16:05:38,factor,9-4
for,0614-07-30 19:48:15,professor,5-4
attorney,1195-04-09 21:54:35,beyond,4-3
should,1243-04-02 21:35:34,movie,6-6
popular,0073-08-12 08:55:21,move,7-5
two,1704-08-20 11:18:03,player,7-5
Mrs,0166-07-14 23:09:12,outside,5-3
Mr,1390-03-14 06:04:14,home,9-2
as,1617-06-29 23:16:17,ball,6-4
parent,1633-11-03 06:46:55,century,8-9
not,0932-08-31 21:30:52,door,7-1
back,1228-01-01 18:41:49,manager,4-5
company,1234-11-22 08:38:40,physical,6-1
financial,0242-02-10 08:28:52,few,8-4
current,0730-01-30 21:36:53,deal,3-6
with,0444-09-04 21:00:05,ahead,8-9
once,0948-06-16 13:32:17,be,6-1
thing,0322-01-12 10:28:38,girl,3-6
discussion,0197-07-07 22:02:06,maybe,3-1
attack,1617-05-14 17:46:49,person,3-3
write,1786-12-08 08:40:02,do,3-8
together,0978-01-09 00:49:19,speak,8-7
him,1981-05-28 03:13:42,foot,5-4
possible,1195-12-31 03:37:41,style,1-5
choose,0736-04-06 20:20:05,interview,3-7
game,1052-06-23 07:31:35,example,4-9
better,1084-03-05 21:15:20,enter,2-4
culture,1343-06-23 00:59:33,case,2-6
position,0076-12-25 11:35:30,people,9-8
food,1292-09-24 21:15:24,political,9-9
fill,1969-10-21 18:01:13,though,2-6
to,0637-12-05 20:48:53,yes,8-1
him,1149-04-28 15:59:02,must,2-1
think,0352-12-25 02:58:21,policy,5-4
specific,0399-04-25 10:31:40,herself,6-8
low,0919-04-09 06:27:51,do,6-9
follow,1981-04-29 06:11:50,throughout,6-6
explain,0423-05-04 02:41:45,outside,7-7
hour,0300-09-04 22:55:31,possible,5-2
mention,0622-12-03 18:45:50,into,6-4
across,1401-08-10 08:29:19,believe,3-3
the,1152-11-25 02:14:28,ever,9-6
probably,1317-06-11 16:36:13,star,6-1
child,0266-11-09 19:19:16,worker,4-7
break,0377-11-16 08:48:06,everyone,5-9
fall,0275-02-01 00:53:19,organization,3-1
raise,1942-06-25 10:16:38,fact,8-3
candidate,1242-07-30 14:22:54,opportunity,7-4
rest,1297-02-15 05:41:52,high,9-1
summer,0340-07-10 20:46:34,outside,2-6
ever,1007-12-21 18:29:01,five,8-1
contain,0487-05-14 08:45:35,task,6-1
generation,0074-03-18 06:52:04,class,6-3
democratic,0001-07-04 20:31:36,concern,4-8
training,0028-05-01 21:41:08,language,8-2
show,1874-04-02 02:20:20,law,1-7
group,1953-03-16 03:43:16,account,5-4
tend,1136-12-10 06:00:32,if,7-7
particularly,0113-04-07 05:38:28,answer,4-3
these,0683-02-16 13:55:15,while,3-7
able,1383-10-21 08:49:26,really,9-1
against,1190-02-23 05:06:52,later,7-1
evening,0153-11-19 02:22:24,wait,2-1
industry,0639-11-09 23:09:21,once,3-5
day,0764-06-25 00:13:54,build,7-8
difficult,1354-07-12 15:34:41,dream,5-6
begin,1972-11-09 17:55:44,however,1-9
lawyer,0107-10-18 17:45:57,system,4-8
foreign,0157-03-01 16:56:45,attack,1-2
character,0648-05-17 07:25:15,movement,5-9
one,1800-11-22 15:46:13,get,5-6
or,0332-04-19 08:15:01,cause,3-9
get,0368-09-17 14:53:44,sure,4-9
only,1729-06-02 18:35:30,mention,8-2
rich,0517-05-28 23:10:54,discussion,1-5
office,0293-05-04 13:43:39,record,4-8
water,1875-04-11 15:06:51,expect,1-4
them,0960-07-12 05:37:37,sing,3-7
loss,1392-08-18 13:15:41,him,6-2
next,0033-01-19 01:10:05,data,1-8
quality,1956-11-15 05:03:26,fly,9-3
age,1303-11-10 11:11:32,learn,5-1
wish,1246-02-27 04:17:26,newspaper,4-4
particularly,0923-08-06 19:43:48,company,5-5
character,1445-01-15 21:38:39,material,9-9
recognize,1172-01-07 23:24:32,role,3-3
will,1941-08-18 09:14:44,put,2-2
yes,0378-02-02 16:16:35,discussion,6-2
store,0066-07-28 02:23:36,unit,3-6
system,1640-07-31 04:18:21,respond,8-1
me,0674-09-07 10:28:47,spring,4-8
friend,1018-06-10 23:56:47,reduce,5-4
while,0651-09-20 11:43:28,senior,2-6
four,0510-06-15 16:57:09,detail,4-8
almost,0878-06-10 23:47:54,military,6-3
exist,1512-12-08 01:39:19,success,2-9
assume,0799-09-29 07:52:16,short,4-1
high,1848-11-24 02:27:50,concern,6-2
never,1642-03-03 14:28:09,land,5-6
style,0365-11-02 05:14:45,only,9-8
quickly,0581-06-19 03:21:01,relate,7-9
since,0252-07-11 04:35:34,board,3-9
occur,0783-09-07 19:09:20,board,9-4
relationship,0916-09-01 02:03:07,bed,8-9
administration,0497-12-25 22:06:33,design,2-4
maybe,1805-04-27 11:13:45,I,5-5
oil,1248-10-11 19:06:00,green,5-7
for,1870-03-24 17:15:11,happy,9-7
task,1290-06-25 03:00:28,book,8-7
area,0805-11-04 17:15:08,popular,8-6
while,1099-04-26 14:55:41,center,6-1
address,1105-09-30 01:17:32,attention,3-1
food,0675-09-08 16:36:12,answer,8-1
seven,0106-07-11 20:38:29,buy,9-8
every,1219-03-21 11:56:31,research,4-6
north,1650-03-25 02:29:20,central,9-3
attorney,0830-12-26 06:05:30,short,2-5
name,0652-03-18 22:23:23,local,3-7
its,0612-03-07 17:55:24,avoid,6-8
do,0886-10-16 00:42:17,south,9-7
product,1716-12-17 18:47:02,check,2-3
affect,1910-03-31 09:17:55,next,6-9
home,0094-01-11 06:19:41,very,7-6
while,1393-02-08 04:35:23,but,4-4
close,0387-05-04 19:17:47,grow,5-1
risk,0664-07-12 15:46:48,month,6-3
official,1058-08-06 19:12:39,arrive,2-2
machine,0863-08-19 15:43:34,help,5-6
term,1803-03-22 03:00:39,leader,4-1
rest,1813-01-03 10:37:46,hotel,8-9
want,1617-10-10 00:24:12,improve,9-4
state,1279-06-08 22:15:33,half,9-5
Republican,0350-11-06 00:43:02,poor,3-6
food,1617-08-13 18:50:50,safe,2-8
tell,0711-07-23 15:44:28,should,4-4
article,1266-01-27 04:31:16,appear,4-3
share,0660-10-13 21:10:32,well,3-4
your,0505-02-17 04:11:03,executive,8-2
watch,1474-01-12 21:41:48,the,7-6
national,1281-10-01 03:19:38,score,1-2
rate,1972-10-13 03:44:51,across,2-6
blue,0726-09-01 19:53:40,west,9-8
light,0904-07-20 08:21:31,stuff,8-2
choice,0944-09-11 00:44:18,performance,5-4
structure,1358-02-25 07:19:52,alone,3-4
maintain,0514-07-16 13:24:17,project,7-8
both,1560-02-13 00:16:43,interview,9-4
officer,0613-04-19 21:15:02,pressure,5-3
little,0786-12-03 07:48:08,never,5-3
interest,0456-09-14 09:42:20,usually,4-2
as,1215-11-10 00:38:37,herself,9-4
better,0946-06-01 22:17:03,natural,4-6
lot,1949-05-06 10:11:49,along,1-7
woman,1873-03-28 02:10:37,management,2-2
meeting,1597-01-15 17:10:28,history,6-7
key,0623-01-20 21:53:48,market,8-2
lot,1171-02-17 02:42:59,hear,2-6
any,0655-12-30 23:55:17,success,8-7
financial,1739-03-17 21:10:22,building,1-2
century,0333-07-13 18:22:50,lay,1-6
speak,1599-04-18 22:32:46,apply,4-7
dream,0878-02-26 01:18:11,threat,6-7
single,0334-01-03 04:23:41,behavior,9-6
skill,0099-02-17 18:53:16,size,5-7
field,0498-06-02 14:17:45,trade,5-6
our,0767-05-25 14:49:26,able,6-6
cold,1428-06-02 01:16:12,appear,9-5
cultural,0940-10-24 07:39:33,pressure,4-2
method,1323-03-11 11:42:04,bad,9-2
sometimes,1523-12-28 16:40:12,toward,1-8
order,0315-09-19 13:13:38,middle,9-5
measure,0217-04-05 20:16:11,though,5-6
though,1052-04-16 03:52:54,person,6-2
view,0094-10-23 12:40:15,ground,2-6
TV,1380-05-22 08:25:03,college,9-5
individual,1942-01-30 11:44:57,sound,9-3
moment,1370-05-25 20:30:37,claim,9-9
scientist,0374-11-25 12:34:58,word,8-4
with,0914-04-06 09:44:33,four,6-2
exactly,1077-06-13 16:37:01,technology,8-8
brother,0367-09-14 03:52:34,enter,4-9
for,0326-05-17 11:00:22,energy,7-1
campaign,1365-10-07 07:46:54,senior,9-8
into,0926-02-27 03:56:56,future,8-1
sound,0350-10-25 19:33:23,husband,1-1
agent,1195-01-25 22:49:23,four,1-7
only,0208-12-02 01:16:00,truth,4-5
ability,0811-12-06 15:33:41,deep,6-5
open,0535-03-11 17:25:10,pass,2-1
spend,0820-09-12 08:06:55,wonder,9-5
course,1989-10-30 04:19:11,push,2-7
home,1715-11-20 03:58:48,top,4-1
population,1673-01-03 16:18:28,spring,2-1
something,0992-09-14 08:25:13,artist,7-6
house,1955-11-26 23:19:36,machine,5-6
my,1810-05-28 12:49:49,including,7-6
dream,0864-08-25 22:12:50,mention,2-2
however,1627-05-03 05:23:38,knowledge,9-3
property,0525-10-11 16:49:51,listen,6-3
gas,0468-01-16 03:57:49,pay,4-8
at,1710-05-31 23:39:35,result,3-5
provide,0621-01-09 19:59:14,lead,6-6
community,1292-12-16 10:09:53,before,3-5
front,0258-10-04 03:12:50,especially,5-2
name,0297-09-25 06:49:01,argue,7-9
magazine,1891-05-19 14:41:24,care,1-8
step,0755-06-19 04:34:46,where,9-7
case,1995-03-27 12:08:33,lead,3-7
choice,1696-01-02 03:15:10,none,4-2
collection,1842-04-14 15:24:22,top,3-5
radio,1155-09-13 01:07:20,listen,9-1
resource,0758-01-07 14:10:06,offer,6-4
toward,0703-08-29 14:06:58,light,3-9
discuss,1322-06-06 09:45:29,author,5-3
bad,0306-04-30 12:18:49,explain,7-1
drug,0745-04-11 01:25:38,hundred,1-2
deep,0743-02-23 18:27:42,beautiful,5-2
talk,0643-09-13 22:37:47,start,7-5
first,0514-03-15 00:52:35,certain,5-7
kid,1053-09-15 20:09:09,pick,7-1
plan,1534-12-16 22:18:28,likely,2-1
law,1073-04-28 08:20:39,there,5-6
old,0493-06-24 14:49:55,reach,6-7
of,0571-11-02 15:37:00,type,5-9
its,1347-01-17 07:41:12,go,7-9
include,0198-11-13 16:24:54,method,5-2
seek,1828-12-13 10:14:59,him,5-4
husband,0783-03-31 09:41:18,huge,3-5
oil,1985-09-18 12:17:21,any,2-6
against,1500-01-04 14:37:52,now,2-8
not,1545-04-13 20:35:12,last,5-4
wife,1993-06-26 18:22:09,carry,3-5
study,1256-10-20 23:21:25,science,7-5
rate,0376-02-16 21:12:02,analysis,4-8
dream,0710-05-27 23:48:54,through,2-4
measure,1025-01-18 07:17:58,personal,1-4
these,1007-02-11 16:26:16,pretty,9-7
customer,1319-11-29 12:31:03,feel,1-9
beat,1341-05-24 19:19:38,street,3-5
I,1418-04-27 13:43:25,final,8-3
age,1511-09-19 17:30:18,local,4-7
must,0783-06-12 19:48:57,she,8-9
trial,1638-08-17 03:08:57,matter,1-3
understand,1850-04-12 04:43:49,section,3-2
happen,1139-06-11 10:01:15,size,7-8
several,0220-06-28 12:32:13,peace,4-2
fire,0199-01-17 22:34:26,carry,9-7
yourself,0357-07-11 08:22:14,near,5-4
find,0266-04-01 00:25:34,soldier,1-2
religious,1543-11-23 01:22:47,best,5-1
ball,0870-10-09 06:53:10,animal,6-8
special,0741-11-03 02:47:20,scientist,6-9
later,0940-10-02 03:46:34,positive,3-8
agency,0207-08-19 21:49:41,artist,5-4
popular,1305-08-29 09:46:01,every,2-4
student,1431-01-11 21:18:24,threat,1-8
guess,0989-01-08 14:22:09,report,9-8
thought,1420-09-08 05:03:39,appear,7-1
foreign,0632-09-05 12:01:18,adult,4-6
quickly,1586-10-05 00:54:42,four,5-7
support,1556-04-21 11:52:27,tax,1-7
long,0908-06-29 21:47:03,picture,4-4
story,1258-12-12 14:56:49,box,2-6
fight,0457-06-11 07:01:00,if,8-7
many,0806-12-03 04:18:09,sound,9-6
agreement,1803-07-19 14:13:18,go,2-7
they,1885-02-08 12:23:35,enjoy,9-9
TV,0732-04-09 10:48:48,until,8-2
radio,1014-07-26 00:45:23,southern,8-9
opportunity,1149-01-25 07:27:32,bed,7-7
reality,0971-05-26 00:53:48,eye,3-6
bring,0494-10-26 03:31:36,difficult,1-9
phone,0982-06-27 22:57:57,much,2-4
group,0309-09-22 11:00:06,sing,9-4
show,1506-04-12 16:48:01,detail,2-9
cost,0100-05-04 16:25:51,late,1-5
relationship,0950-05-12 03:09:18,group,7-3
quite,0368-07-02 03:00:00,environment,6-4
talk,0034-11-11 16:11:37,million,2-4
several,0558-02-08 04:42:54,must,9-1
attention,1194-06-03 02:31:40,local,2-6
unit,0023-10-08 18:18:43,care,5-7
someone,1847-12-22 02:34:29,president,1-4
history,1141-01-22 09:56:41,himself,5-8
child,1100-04-07 07:35:01,all,6-6
something,0373-07-29 02:06:39,send,4-5
listen,1327-11-17 08:02:59,defense,5-2
along,1768-08-05 11:37:19,the,9-1
interesting,1558-05-23 13:41:02,study,1-6
yes,0046-02-16 03:48:19,cause,3-1
owner,0673-03-06 01:44:36,along,6-3
manager,0547-01-15 11:01:05,set,1-9
him,0945-06-12 23:32:10,large,5-9
to,1454-07-26 04:33:47,magazine,3-7
if,0413-12-02 20:09:45,long,1-2
without,1761-01-15 02:27:44,kitchen,3-9
key,1049-03-13 20:41:57,picture,4-4
side,0930-03-29 13:36:27,significant,1-9
area,1291-01-21 08:34:39,visit,9-8
side,1145-02-09 12:12:28,father,9-2
claim,1654-06-23 03:55:19,deep,7-1
language,1060-06-20 11:38:42,address,6-8
number,1865-09-10 02:52:58,indicate,8-4
however,0466-09-26 22:09:27,safe,7-1
billion,0305-04-27 16:53:32,threat,1-7
response,1799-07-10 11:50:58,hot,1-9
vote,0928-10-14 19:28:48,old,9-1
between,0179-11-20 17:51:52,across,5-9
music,0981-10-26 16:09:45,program,9-6
suggest,0480-06-04 09:07:28,thank,2-4
common,1420-09-05 15:50:34,seat,7-7
degree,0080-08-06 20:55:26,guy,7-4
kind,1213-04-15 11:34:05,financial,3-6
fund,1981-07-13 06:02:14,prove,1-9
week,0123-11-22 17:11:51,glass,5-6
car,0294-02-17 08:40:15,health,3-8
pay,0613-07-14 11:13:01,letter,2-9
change,0009-03-13 01:55:48,current,6-2
size,0232-03-15 08:47:47,pressure,1-1
catch,1557-12-27 06:24:40,production,3-1
financial,0880-10-18 12:38:41,north,7-8
